Gene	AF16_Control	Gene_2	AF16_Treatment	Gene_3	HK104_Control	Gene_4	HK104_Treatment
WBGene00023776	1084	WBGene00023776	1278	WBGene00023776	427	WBGene00023776	509
WBGene00023777	11	WBGene00023777	4	WBGene00023777	43	WBGene00023777	26
WBGene00023778	12	WBGene00023778	14	WBGene00023778	6	WBGene00023778	1
WBGene00023780	7	WBGene00023780	0	WBGene00023780	8	WBGene00023780	9
WBGene00023782	4	WBGene00023782	1	WBGene00023782	13	WBGene00023782	2
WBGene00023783	146	WBGene00023783	35	WBGene00023783	52	WBGene00023783	39
WBGene00023785	530	WBGene00023785	443	WBGene00023785	22	WBGene00023785	24
WBGene00023786	15	WBGene00023786	8	WBGene00023786	1	WBGene00023786	0
WBGene00023788	9	WBGene00023788	4	WBGene00023788	69	WBGene00023788	34
WBGene00023790	4	WBGene00023790	0	WBGene00023790	6	WBGene00023790	9
WBGene00023792	31	WBGene00023792	3	WBGene00023792	7	WBGene00023792	5
WBGene00023793	53	WBGene00023793	2	WBGene00023793	1	WBGene00023793	3
WBGene00023794	0	WBGene00023794	0	WBGene00023794	24	WBGene00023794	4
WBGene00023795	111	WBGene00023795	237	WBGene00023795	1	WBGene00023795	0
WBGene00023796	227	WBGene00023796	176	WBGene00023796	262	WBGene00023796	199
WBGene00023797	1361	WBGene00023797	1121	WBGene00023797	57	WBGene00023797	48
WBGene00023798	0	WBGene00023798	0	WBGene00023798	143	WBGene00023798	124
WBGene00023799	1	WBGene00023799	9	WBGene00023799	4	WBGene00023799	10
WBGene00023800	490	WBGene00023800	202	WBGene00023800	637	WBGene00023800	284
WBGene00023801	10	WBGene00023801	4	WBGene00023801	7	WBGene00023801	8
WBGene00023802	0	WBGene00023802	0	WBGene00023802	0	WBGene00023802	0
WBGene00023803	3	WBGene00023803	0	WBGene00023803	22	WBGene00023803	1
WBGene00023804	0	WBGene00023804	2	WBGene00023804	5	WBGene00023804	0
WBGene00023805	310	WBGene00023805	230	WBGene00023805	372	WBGene00023805	280
WBGene00023806	1303	WBGene00023806	897	WBGene00023806	1053	WBGene00023806	855
WBGene00023807	275	WBGene00023807	166	WBGene00023807	315	WBGene00023807	167
WBGene00023808	924	WBGene00023808	801	WBGene00023808	643	WBGene00023808	552
WBGene00023809	1035	WBGene00023809	1059	WBGene00023809	1021	WBGene00023809	1000
WBGene00023810	0	WBGene00023810	0	WBGene00023810	62	WBGene00023810	65
WBGene00023811	298	WBGene00023811	363	WBGene00023811	298	WBGene00023811	946
WBGene00023812	6	WBGene00023812	3	WBGene00023812	1	WBGene00023812	23
WBGene00023813	325	WBGene00023813	228	WBGene00023813	453	WBGene00023813	318
WBGene00023814	26	WBGene00023814	11	WBGene00023814	0	WBGene00023814	0
WBGene00023815	0	WBGene00023815	1	WBGene00023815	0	WBGene00023815	1
WBGene00023816	2773	WBGene00023816	3331	WBGene00023816	2677	WBGene00023816	3316
WBGene00023817	1472	WBGene00023817	1101	WBGene00023817	951	WBGene00023817	758
WBGene00023818	202	WBGene00023818	89	WBGene00023818	26	WBGene00023818	6
WBGene00023819	31	WBGene00023819	17	WBGene00023819	9	WBGene00023819	10
WBGene00023820	57	WBGene00023820	18	WBGene00023820	44	WBGene00023820	5
WBGene00023821	4	WBGene00023821	2	WBGene00023821	10	WBGene00023821	5
WBGene00023822	386	WBGene00023822	129	WBGene00023822	342	WBGene00023822	154
WBGene00023823	2	WBGene00023823	0	WBGene00023823	9	WBGene00023823	2
WBGene00023824	7034	WBGene00023824	3421	WBGene00023824	4705	WBGene00023824	2433
WBGene00023825	71	WBGene00023825	16	WBGene00023825	73	WBGene00023825	16
WBGene00023826	5249	WBGene00023826	1441	WBGene00023826	2948	WBGene00023826	798
WBGene00023827	13	WBGene00023827	11	WBGene00023827	22	WBGene00023827	10
WBGene00023828	981	WBGene00023828	759	WBGene00023828	648	WBGene00023828	518
WBGene00023829	0	WBGene00023829	19	WBGene00023829	5	WBGene00023829	1
WBGene00023830	3463	WBGene00023830	3546	WBGene00023830	1436	WBGene00023830	1319
WBGene00023831	61	WBGene00023831	27	WBGene00023831	26	WBGene00023831	7
WBGene00023832	0	WBGene00023832	0	WBGene00023832	0	WBGene00023832	0
WBGene00023833	101	WBGene00023833	25	WBGene00023833	120	WBGene00023833	40
WBGene00023834	20	WBGene00023834	11	WBGene00023834	20	WBGene00023834	10
WBGene00023835	2577	WBGene00023835	389	WBGene00023835	1010	WBGene00023835	118
WBGene00023836	0	WBGene00023836	4	WBGene00023836	0	WBGene00023836	0
WBGene00023837	1	WBGene00023837	1	WBGene00023837	0	WBGene00023837	0
WBGene00023838	5	WBGene00023838	0	WBGene00023838	2	WBGene00023838	1
WBGene00023839	1647	WBGene00023839	1666	WBGene00023839	1303	WBGene00023839	1130
WBGene00023840	5	WBGene00023840	6	WBGene00023840	0	WBGene00023840	3
WBGene00023841	25	WBGene00023841	19	WBGene00023841	13	WBGene00023841	7
WBGene00023842	33817	WBGene00023842	36805	WBGene00023842	9783	WBGene00023842	10440
WBGene00023843	2468	WBGene00023843	1078	WBGene00023843	34	WBGene00023843	30
WBGene00023844	0	WBGene00023844	0	WBGene00023844	0	WBGene00023844	0
WBGene00023845	246	WBGene00023845	159	WBGene00023845	213	WBGene00023845	285
WBGene00023846	210	WBGene00023846	178	WBGene00023846	48	WBGene00023846	46
WBGene00023847	2658	WBGene00023847	2404	WBGene00023847	2406	WBGene00023847	2343
WBGene00023848	1268	WBGene00023848	1040	WBGene00023848	1156	WBGene00023848	912
WBGene00023849	2599	WBGene00023849	2040	WBGene00023849	1983	WBGene00023849	1532
WBGene00023850	0	WBGene00023850	0	WBGene00023850	0	WBGene00023850	0
WBGene00023851	12	WBGene00023851	1	WBGene00023851	16	WBGene00023851	1
WBGene00023852	747	WBGene00023852	324	WBGene00023852	907	WBGene00023852	340
WBGene00023853	8	WBGene00023853	20	WBGene00023853	1	WBGene00023853	2
WBGene00023854	285	WBGene00023854	125	WBGene00023854	299	WBGene00023854	39
WBGene00023855	91	WBGene00023855	64	WBGene00023855	90	WBGene00023855	47
WBGene00023856	27	WBGene00023856	13	WBGene00023856	38	WBGene00023856	17
WBGene00023857	47	WBGene00023857	35	WBGene00023857	43	WBGene00023857	29
WBGene00023858	161	WBGene00023858	60	WBGene00023858	130	WBGene00023858	46
WBGene00023859	0	WBGene00023859	0	WBGene00023859	0	WBGene00023859	0
WBGene00023860	1	WBGene00023860	0	WBGene00023860	0	WBGene00023860	0
WBGene00023861	5	WBGene00023861	10	WBGene00023861	15	WBGene00023861	6
WBGene00023862	100	WBGene00023862	50	WBGene00023862	130	WBGene00023862	31
WBGene00023864	5	WBGene00023864	0	WBGene00023864	1	WBGene00023864	0
WBGene00023865	318	WBGene00023865	189	WBGene00023865	286	WBGene00023865	154
WBGene00023866	1	WBGene00023866	0	WBGene00023866	56	WBGene00023866	46
WBGene00023867	591	WBGene00023867	611	WBGene00023867	683	WBGene00023867	627
WBGene00023868	204	WBGene00023868	186	WBGene00023868	126	WBGene00023868	103
WBGene00023869	785	WBGene00023869	827	WBGene00023869	762	WBGene00023869	748
WBGene00023870	2010	WBGene00023870	1952	WBGene00023870	1988	WBGene00023870	2050
