GO:0002943	WBGene00030139,WBGene00033329,WBGene00038919,WBGene00041459
GO:0002949	WBGene00023867,WBGene00032676
GO:0003009	WBGene00027607,WBGene00033136,WBGene00035678,WBGene00036678
GO:0003333	WBGene00024486,WBGene00026376,WBGene00027719,WBGene00028330,WBGene00029054,WBGene00029207,WBGene00029867,WBGene00031320,WBGene00032056,WBGene00033402,WBGene00033950,WBGene00039081,WBGene00039142,WBGene00040749,WBGene00042435,WBGene00271065
GO:0003374	WBGene00039053,WBGene00039264
GO:0003388	WBGene00039792
GO:0003391	WBGene00036124
GO:0003400	WBGene00024896,WBGene00033470
GO:0005975	WBGene00023839,WBGene00023911,WBGene00024130,WBGene00024397,WBGene00024453,WBGene00024571,WBGene00024876,WBGene00025348,WBGene00025355,WBGene00025716,WBGene00025717,WBGene00025718,WBGene00025721,WBGene00025722,WBGene00025723,WBGene00025817,WBGene00025850,WBGene00026058,WBGene00026252,WBGene00026413,WBGene00026414,WBGene00026433,WBGene00026892,WBGene00027365,WBGene00027462,WBGene00027483,WBGene00027484,WBGene00027501,WBGene00027503,WBGene00027562,WBGene00028138,WBGene00028408,WBGene00028641,WBGene00028823,WBGene00028973,WBGene00029053,WBGene00029055,WBGene00029167,WBGene00029393,WBGene00029599,WBGene00029828,WBGene00029946,WBGene00030014,WBGene00030131,WBGene00030373,WBGene00030949,WBGene00031330,WBGene00031452,WBGene00031461,WBGene00031479,WBGene00032143,WBGene00032210,WBGene00032258,WBGene00032632,WBGene00033004,WBGene00033295,WBGene00033713,WBGene00034142,WBGene00034149,WBGene00034150,WBGene00034171,WBGene00034573,WBGene00034691,WBGene00034742,WBGene00034776,WBGene00034996,WBGene00035194,WBGene00035530,WBGene00035534,WBGene00035606,WBGene00036024,WBGene00036226,WBGene00036378,WBGene00036384,WBGene00036556,WBGene00036582,WBGene00037225,WBGene00037335,WBGene00037441,WBGene00037508,WBGene00037706,WBGene00037747,WBGene00037874,WBGene00038102,WBGene00038103,WBGene00038184,WBGene00038253,WBGene00038390,WBGene00038595,WBGene00038675,WBGene00038966,WBGene00039401,WBGene00040062,WBGene00040099,WBGene00040270,WBGene00040647,WBGene00040650,WBGene00040750,WBGene00040787,WBGene00041135,WBGene00041547,WBGene00041704,WBGene00041740,WBGene00042687,WBGene00088665,WBGene00271493
GO:0005977	WBGene00026252,WBGene00030131,WBGene00036556,WBGene00037715,WBGene00042609
GO:0005978	WBGene00025348,WBGene00029606,WBGene00032285,WBGene00034040,WBGene00034798,WBGene00035857,WBGene00037508,WBGene00037836
GO:0005980	WBGene00024571,WBGene00025355,WBGene00032285,WBGene00038595
GO:0005991	WBGene00028108,WBGene00029175,WBGene00029498,WBGene00033575,WBGene00041665
GO:0005992	WBGene00025041,WBGene00032260
GO:0005997	WBGene00029053,WBGene00030334
GO:0005998	WBGene00030334
GO:0006000	WBGene00031037,WBGene00032099
GO:0006002	WBGene00025167,WBGene00025820,WBGene00038394
GO:0006003	WBGene00031037,WBGene00032099
GO:0006004	WBGene00034742,WBGene00036226,WBGene00042687
GO:0006006	WBGene00000332,WBGene00000333,WBGene00024150,WBGene00024453,WBGene00024712,WBGene00025348,WBGene00028408,WBGene00030334
GO:0006007	WBGene00025167,WBGene00033571,WBGene00038394
GO:0006011	WBGene00037715,WBGene00042609
GO:0006012	WBGene00026433,WBGene00029822,WBGene00040825
GO:0006013	WBGene00033295,WBGene00034996,WBGene00038122,WBGene00041704
GO:0006014	WBGene00025817,WBGene00036489
GO:0006015	WBGene00036510,WBGene00037109
GO:0006021	WBGene00026064
GO:0006024	WBGene00031223,WBGene00037762
GO:0006030	WBGene00024873,WBGene00024975,WBGene00026661,WBGene00026671,WBGene00026714,WBGene00027590,WBGene00027717,WBGene00027725,WBGene00030236,WBGene00030265,WBGene00030957,WBGene00031583,WBGene00034776,WBGene00036263,WBGene00036674,WBGene00039115
GO:0006031	WBGene00032928
GO:0006032	WBGene00031857,WBGene00034776,WBGene00038227,WBGene00088498
GO:0006038	WBGene00032928
GO:0006043	WBGene00040062
